OID,PID
0,516
0,919
0,165
0,165
1,186
1,186
1,615
1,595
1,236
1,236
2,506
2,314
2,363
2,363
2,363
2,174
2,174
2,174
2,40
3,764
3,764
3,759
3,759
3,759
3,93
3,93
3,466
3,26
3,26
4,713
4,713
4,713
4,63
4,905
4,905
4,905
5,711
6,434
7,371
7,371
7,371
7,186
7,186
7,775
7,775
7,775
8,295
8,295
8,327
9,245
9,244
10,5
10,5
10,5
10,350
11,426
11,426
11,426
11,293
11,293
11,817
11,817
11,755
11,755
11,755
12,541
12,541
12,541
13,468
13,468
13,803
13,803
14,302
14,302
14,689
14,554
14,554
14,554
15,194
15,61
15,61
15,61
16,436
16,440
16,440
16,440
17,673
17,673
17,844
17,844
17,844
18,615
18,615
18,615
18,817
18,963
18,963
18,258
18,258
18,258
18,62
18,62
19,832
19,832
19,832
19,803
19,803
20,53
20,53
20,405
20,522
20,109
21,932
21,932
21,932
21,343
21,343
21,343
21,483
22,592
22,592
22,592
22,919
22,919
23,352
23,352
23,352
23,789
24,113
25,627
25,627
25,149
25,734
25,734
25,734
25,178
25,178
25,178
26,721
26,721
26,721
27,300
27,215
27,215
27,215
27,865
27,865
27,78
27,78
27,236
28,233
28,202
28,851
28,302
29,186
29,186
29,954
29,954
29,954
29,86
29,86
29,86
29,467
29,467
30,709
30,459
30,459
30,357
30,140
31,769
31,750
31,750
31,750
31,173
31,596
32,694
32,694
32,667
32,667
32,316
32,316
32,590
32,472
33,433
33,433
33,433
33,726
33,733
33,874
33,925
34,622
34,622
34,358
34,778
34,663
34,663
34,217
34,217
34,217
35,669
36,845
37,165
37,515
37,515
37,820
37,820
38,681
38,430
38,430
38,504
39,795
39,795
39,386
39,386
39,897
39,714
40,757
40,757
40,757
40,362
41,648
41,648
41,841
41,524
41,524
41,435
41,435
41,435
42,450
42,450
42,217
42,217
42,217
42,270
42,270
42,270
42,525
42,767
42,767
42,767
43,599
43,599
43,599
44,811
44,811
44,811
44,661
44,661
44,661
44,630
44,967
44,967
44,967
44,422
44,422
45,807
45,246
46,102
46,102
47,704
47,704
48,664
48,664
48,268
48,268
48,922
48,894
48,894
48,894
48,788
48,788
49,241
49,241
49,628
49,531
49,859
49,859
49,859
50,186
50,186
51,720
51,145
51,145
51,145
51,676
51,676
51,520
51,520
51,587
51,587
51,587
52,271
52,857
52,857
52,857
52,303
52,303
52,44
52,44
52,44
53,48
53,48
53,48
53,474
53,474
53,474
53,903
53,903
53,417
53,417
53,417
54,350
54,124
54,124
54,4
55,913
55,913
55,913
55,740
55,740
55,566
55,566
55,566
55,704
55,525
55,525
55,525
56,367
56,229
56,229
56,702
57,768
57,768
57,790
57,790
57,726
57,726
57,726
58,98
58,98
58,98
58,91
58,91
58,91
58,164
58,164
58,164
59,137
59,137
59,137
59,99
60,50
60,50
60,5
60,126
60,663
60,268
61,926
61,714
61,714
62,25
62,25
62,25
62,687
62,687
63,415
63,965
63,965
63,965
64,198
64,198
64,198
64,31
64,459
64,459
64,459
64,796
65,172
65,172
65,172
65,470
65,470
65,701
65,701
66,843
66,843
66,843
67,472
67,472
67,344
67,344
67,344
67,550
67,966
67,966
67,966
68,615
68,439
68,439
68,600
68,600
68,624
68,624
68,624
69,400
69,400
69,908
69,908
69,922
69,922
69,222
69,222
69,222
69,723
69,723
70,33
70,33
70,78
70,78
70,705
70,705
70,705
70,68
70,641
71,17
71,17
71,50
71,50
71,50
71,784
72,197
72,628
72,628
72,628
72,370
72,370
73,261
73,459
74,122
74,122
74,884
74,187
74,187
74,187
74,780
74,780
75,940
75,940
75,940
76,2
76,2
76,2
76,443
76,13
76,13
76,13
76,432
76,432
76,432
76,941
76,941
77,255
77,255
77,255
78,353
78,353
78,353
78,445
78,445
78,669
78,669
78,669
78,423
78,423
79,942
79,942
79,942
79,511
80,199
80,761
80,761
81,412
81,412
81,504
81,504
81,193
81,193
81,41
81,41
82,506
82,506
82,748
82,748
82,748
83,785
83,105
83,40
83,40
83,619
84,75
84,75
84,710
84,710
84,710
84,948
84,948
84,948
84,468
85,700
85,700
85,576
85,576
85,126
86,490
86,490
86,277
86,277
86,277
87,917
87,917
87,453
87,653
87,82
87,715
88,846
88,398
88,699
88,699
88,699
88,227
88,227
88,227
89,253
89,253
89,42
89,529
89,529
89,529
89,311
89,442
89,442
90,293
91,502
91,874
91,632
91,632
91,632
91,192
91,192
91,208
91,208
91,208
92,727
92,727
92,727
92,382
92,382
92,712
92,712
92,712
92,675
92,675
92,675
92,955
93,106
93,347
93,347
93,909
93,909
93,61
93,61
93,718
94,590
94,590
94,640
94,640
94,478
95,702
95,702
95,324
96,101
96,101
96,675
96,757
96,757
97,825
97,825
97,424
97,424
97,424
97,473
97,473
97,473
97,561
97,561
98,8
99,296
99,296
99,473
99,473
99,473
99,804
99,804
99,576
99,576
99,786
100,706
100,706
100,706
100,475
100,282
100,282
100,282
100,450
100,450
100,450
101,923
101,923
101,923
102,410
102,410
103,647
103,647
103,647
104,890
104,890
104,890
104,193
104,193
104,814
105,834
105,834
105,834
105,852
105,546
105,546
105,333
105,333
105,333
106,104
106,104
107,872
108,272
108,272
108,272
108,201
109,643
109,643
110,236
110,236
111,21
111,21
111,21
111,156
111,636
111,636
111,636
111,605
111,605
111,706
111,706
111,706
112,401
112,401
112,499
112,499
112,499
112,778
112,778
112,778
113,872
113,872
113,561
113,561
113,561
113,433
113,433
114,91
114,91
114,91
114,767
114,767
114,292
114,292
114,311
115,970
115,201
115,240
115,240
115,918
116,161
116,161
116,4
117,866
117,866
117,866
117,938
117,938
117,938
118,917
118,809
118,809
118,908
118,908
118,908
118,286
118,286
119,720
119,668
119,668
119,872
119,695
119,606
119,606
120,190
120,190
120,190
120,322
120,322
120,538
120,538
120,750
120,750
120,943
121,707
121,707
121,184
121,184
121,184
121,400
121,400
121,400
121,434
121,434
121,434
122,516
122,516
122,516
122,954
122,954
122,954
123,154
123,805
123,805
123,537
123,28
123,28
123,28
123,34
123,34
123,34
124,58
124,58
124,58
124,350
124,350
125,291
125,87
125,87
126,708
126,708
126,912
126,912
126,912
126,450
126,610
126,610
126,610
127,21
128,198
128,416
128,416
128,416
128,840
128,27
129,295
129,524
129,297
129,297
130,902
130,902
130,945
130,945
130,814
130,236
130,236
130,236
130,408
130,408
130,408
131,862
131,862
131,862
131,654
131,654
131,654
131,323
131,323
131,467
131,467
131,575
131,575
132,281
132,949
133,266
133,266
133,266
134,860
134,5
134,5
135,227
135,227
135,227
135,139
135,139
135,139
136,477
136,933
136,933
136,933
136,186
136,186
136,807
136,807
136,681
137,363
137,942
137,942
137,210
138,274
138,274
138,816
138,816
138,48
139,264
139,264
140,189
140,189
140,552
140,552
140,576
140,576
140,760
140,760
140,760
141,889
141,889
141,157
141,316
141,316
141,81
141,81
141,838
142,760
142,760
142,568
142,568
142,568
142,238
142,238
142,238
142,695
142,695
142,695
142,247
142,247
142,247
143,499
143,499
144,496
144,496
144,613
145,75
145,75
145,75
145,270
146,476
146,476
146,476
146,950
146,860
146,860
146,860
146,280
146,280
147,249
147,249
147,744
147,744
147,47
147,241
147,241
148,320
148,15
148,15
148,219
148,219
148,292
148,292
148,448
148,448
149,707
149,707
149,23
149,23
149,23
149,549
149,549
149,549
149,721
149,721
149,721
149,596
149,596
150,285
150,285
150,351
150,322
150,322
150,322
150,298
150,298
150,783
150,783
151,624
151,624
151,624
151,107
152,702
152,702
153,627
153,627
153,10
153,10
153,32
153,32
153,32
153,226
153,46
153,46
153,46
154,570
154,28
155,119
155,119
155,119
155,741
155,392
155,392
155,167
155,167
156,184
156,184
156,855
156,855
156,162
156,162
156,162
157,44
158,891
158,891
158,891
158,945
158,945
159,778
159,137
159,137
160,217
160,217
160,217
161,700
161,700
161,700
162,211
162,211
162,473
162,473
162,473
162,233
162,233
162,233
163,508
163,508
163,508
163,112
163,112
163,112
163,177
163,177
164,392
164,392
165,775
165,775
165,77
165,77
166,504
166,423
166,423
166,423
166,233
166,301
166,301
166,717
166,717
167,239
167,953
167,953
167,953
167,542
167,542
168,142
168,142
168,134
168,134
169,898
169,898
169,898
169,955
169,729
169,336
169,336
169,203
169,203
170,324
170,167
170,167
170,167
171,723
171,723
171,723
171,828
171,828
171,937
171,937
171,937
171,701
171,701
172,16
172,16
173,668
173,668
173,668
173,592
173,380
173,380
173,380
173,583
173,583
173,398
174,108
174,799
174,799
174,74
175,862
175,69
175,69
175,69
175,686
175,686
175,133
175,133
175,133
175,918
175,918
175,918
176,915
176,915
177,203
178,672
178,672
178,672
178,375
178,375
178,375
178,793
