OID,CID
0,358
1,1054
2,3713
3,700
4,470
5,4019
6,60
7,150
8,3341
9,799
10,734
11,1000
12,565
13,1355
14,2748
15,797
16,2751
17,2406
18,3685
19,3083
20,2262
21,400
22,1937
23,238
24,1338
25,1030
26,131
27,2271
28,241
29,748
30,1391
31,2914
32,676
33,2806
34,34
35,1234
36,3432
37,3877
38,2405
39,1610
40,3033
41,3802
42,555
43,2666
44,649
45,2888
46,2410
47,3031
48,2104
49,1130
50,177
51,1969
52,154
53,193
54,1284
55,3168
56,3
57,634
58,599
59,596
60,1453
61,2325
62,2192
63,2945
64,1657
65,1731
66,2952
67,2626
68,1209
69,344
70,631
71,2750
72,118
73,1832
74,397
75,2465
76,705
77,2208
78,191
79,3067
80,3774
81,1098
82,412
83,1316
84,3426
85,3941
86,2875
87,629
88,1708
89,982
90,3112
91,3247
92,969
93,3814
94,480
95,2169
96,620
97,2474
98,2323
99,3118
100,3852
101,1500
102,1265
103,1197
104,2558
105,2569
106,1780
107,366
108,1912
109,1427
110,1441
111,3920
112,557
113,3981
114,2612
115,1446
116,3092
117,2369
118,642
119,2884
120,3321
121,886
122,1214
123,1452
124,4020
125,3841
126,1714
127,1651
128,3932
129,1864
130,3132
131,2382
132,3955
133,4007
134,2509
135,109
136,3746
137,1135
138,1825
139,3387
140,3632
141,1275
142,3806
143,2077
144,1828
145,1087
146,804
147,1555
148,1082
149,791
150,3892
151,3293
152,1994
153,2063
154,910
155,3981
156,3421
157,2229
158,3242
159,1398
160,2915
161,1959
162,3159
163,2839
164,1640
165,1553
166,2083
167,1201
168,1690
169,700
170,1472
171,3417
172,4001
173,3745
174,3772
175,2480
176,2003
177,3390
178,1913
179,1839
180,3879
181,1204
182,404
183,329
184,2246
185,3488
186,2106
187,156
188,951
189,2149
190,3487
191,3562
192,965
193,3611
194,874
195,1085
196,266
197,1026
198,3780
199,3657
200,1261
201,3822
202,3294
203,1718
204,2189
205,3824
206,296
207,3843
208,1190
209,2863
210,1831
211,1808
212,1398
213,3493
214,3735
215,1907
216,1890
217,3375
218,196
219,539
220,3786
221,3690
222,3854
223,255
224,1090
225,3369
226,252
227,665
228,3801
229,96
230,2971
231,1465
232,2465
233,2005
234,707
235,239
236,1746
237,1205
238,31
239,3495
240,1020
241,1498
242,784
243,2175
244,1397
245,2011
246,3085
247,2202
248,2290
249,785
250,2295
251,3748
252,2501
253,1534
254,336
255,1562
256,2824
257,3749
258,2224
259,1534
260,3814
261,875
262,807
263,591
264,3403
265,2314
266,4006
267,195
268,1294
269,1789
270,636
271,1585
272,751
273,3971
274,3023
275,922
276,259
277,4022
278,946
279,1610
280,324
281,915
282,1696
283,1331
284,517
285,859
286,157
287,1729
288,654
289,3821
290,441
291,2885
292,1245
293,2059
294,2718
295,2462
296,1115
297,2578
298,2765
299,1325
300,2704
301,3288
302,254
303,1698
304,2048
305,3171
306,967
307,1315
308,264
309,3307
310,3963
311,946
312,3564
313,3956
314,3384
315,2097
316,1717
317,1938
318,2677
319,3179
320,172
321,1753
322,2040
323,2301
324,2438
325,270
326,3963
327,3897
328,3316
329,534
330,3715
331,3217
332,1687
333,2065
334,2170
335,2783
336,1765
337,2088
338,3462
339,3896
340,2774
341,3481
342,2197
343,527
344,2548
345,794
346,816
347,2679
348,2634
349,1617
350,3067
351,1642
352,2640
353,2193
354,2555
355,751
356,3547
357,2136
358,2029
359,2953
360,2188
361,622
362,3627
363,2941
364,960
365,1418
366,3676
367,3394
368,3570
369,2769
370,3017
371,1185
372,2374
373,366
374,113
375,7
376,3843
377,3517
378,2491
379,2607
380,3781
381,2723
382,936
383,474
384,2572
385,2479
386,1801
387,2529
388,299
389,2988
390,2175
391,2337
392,1680
393,2093
394,2446
395,2197
396,3853
397,2058
398,160
399,3718
400,3217
401,1328
402,2428
403,589
404,1486
405,3148
406,2458
407,3106
408,2827
409,2429
410,1111
411,3044
412,862
413,2444
414,3133
415,91
416,3419
417,2291
418,2897
419,3185
420,709
421,2982
422,243
423,2233
424,1630
425,1335
426,1603
427,2035
428,3825
429,3050
